candidate,norm,count,relative_frequency,expected_uniform_count
3,63,38,0.0038,39.8406374501992
3,64,37,0.0037,39.8406374501992
3,65,39,0.0039,39.8406374501992
3,66,44,0.0044,39.8406374501992
3,67,48,0.0048,39.8406374501992
3,68,44,0.0044,39.8406374501992
3,69,35,0.0035,39.8406374501992
3,70,32,0.0032,39.8406374501992
3,71,42,0.0042,39.8406374501992
3,72,40,0.004,39.8406374501992
3,73,35,0.0035,39.8406374501992
3,74,37,0.0037,39.8406374501992
3,75,46,0.0046,39.8406374501992
3,76,50,0.005,39.8406374501992
3,77,53,0.0053,39.8406374501992
3,78,39,0.0039,39.8406374501992
3,79,43,0.0043,39.8406374501992
3,80,37,0.0037,39.8406374501992
3,81,29,0.0029,39.8406374501992
3,82,44,0.0044,39.8406374501992
3,83,39,0.0039,39.8406374501992
3,84,47,0.0047,39.8406374501992
3,85,33,0.0033,39.8406374501992
3,86,34,0.0034,39.8406374501992
3,87,41,0.0041,39.8406374501992
3,88,24,0.0024,39.8406374501992
3,89,34,0.0034,39.8406374501992
3,90,34,0.0034,39.8406374501992
3,91,42,0.0042,39.8406374501992
3,92,46,0.0046,39.8406374501992
3,93,31,0.0031,39.8406374501992
3,94,42,0.0042,39.8406374501992
3,95,34,0.0034,39.8406374501992
3,96,33,0.0033,39.8406374501992
3,97,44,0.0044,39.8406374501992
3,98,35,0.0035,39.8406374501992
3,99,62,0.0062,39.8406374501992
3,100,41,0.0041,39.8406374501992
3,101,37,0.0037,39.8406374501992
3,102,44,0.0044,39.8406374501992
3,103,34,0.0034,39.8406374501992
3,104,35,0.0035,39.8406374501992
3,105,40,0.004,39.8406374501992
3,106,46,0.0046,39.8406374501992
3,107,40,0.004,39.8406374501992
3,108,45,0.0045,39.8406374501992
3,109,35,0.0035,39.8406374501992
3,110,43,0.0043,39.8406374501992
3,111,35,0.0035,39.8406374501992
3,112,38,0.0038,39.8406374501992
3,113,42,0.0042,39.8406374501992
3,114,35,0.0035,39.8406374501992
3,115,42,0.0042,39.8406374501992
3,116,41,0.0041,39.8406374501992
3,117,51,0.0051,39.8406374501992
3,118,35,0.0035,39.8406374501992
3,119,43,0.0043,39.8406374501992
3,120,43,0.0043,39.8406374501992
3,121,34,0.0034,39.8406374501992
3,122,43,0.0043,39.8406374501992
3,123,45,0.0045,39.8406374501992
3,124,41,0.0041,39.8406374501992
3,125,46,0.0046,39.8406374501992
3,126,38,0.0038,39.8406374501992
3,127,37,0.0037,39.8406374501992
3,128,41,0.0041,39.8406374501992
3,129,36,0.0036,39.8406374501992
3,130,35,0.0035,39.8406374501992
3,131,46,0.0046,39.8406374501992
3,132,39,0.0039,39.8406374501992
3,133,44,0.0044,39.8406374501992
3,134,44,0.0044,39.8406374501992
3,135,45,0.0045,39.8406374501992
3,136,40,0.004,39.8406374501992
3,137,33,0.0033,39.8406374501992
3,138,41,0.0041,39.8406374501992
3,139,54,0.0054,39.8406374501992
3,140,43,0.0043,39.8406374501992
3,141,43,0.0043,39.8406374501992
3,142,46,0.0046,39.8406374501992
3,143,40,0.004,39.8406374501992
3,144,35,0.0035,39.8406374501992
3,145,37,0.0037,39.8406374501992
3,146,37,0.0037,39.8406374501992
3,147,36,0.0036,39.8406374501992
3,148,46,0.0046,39.8406374501992
3,149,45,0.0045,39.8406374501992
3,150,41,0.0041,39.8406374501992
3,151,34,0.0034,39.8406374501992
3,152,43,0.0043,39.8406374501992
3,153,41,0.0041,39.8406374501992
3,154,34,0.0034,39.8406374501992
3,155,32,0.0032,39.8406374501992
3,156,49,0.0049,39.8406374501992
3,157,32,0.0032,39.8406374501992
3,158,33,0.0033,39.8406374501992
3,159,36,0.0036,39.8406374501992
3,160,44,0.0044,39.8406374501992
3,161,51,0.0051,39.8406374501992
3,162,38,0.0038,39.8406374501992
3,163,44,0.0044,39.8406374501992
3,164,38,0.0038,39.8406374501992
3,165,34,0.0034,39.8406374501992
3,166,36,0.0036,39.8406374501992
3,167,37,0.0037,39.8406374501992
3,168,41,0.0041,39.8406374501992
3,169,36,0.0036,39.8406374501992
3,170,47,0.0047,39.8406374501992
3,171,49,0.0049,39.8406374501992
3,172,37,0.0037,39.8406374501992
3,173,35,0.0035,39.8406374501992
3,174,29,0.0029,39.8406374501992
3,175,45,0.0045,39.8406374501992
3,176,31,0.0031,39.8406374501992
3,177,38,0.0038,39.8406374501992
3,178,40,0.004,39.8406374501992
3,179,46,0.0046,39.8406374501992
3,180,41,0.0041,39.8406374501992
3,181,34,0.0034,39.8406374501992
3,182,38,0.0038,39.8406374501992
3,183,43,0.0043,39.8406374501992
3,184,40,0.004,39.8406374501992
3,185,38,0.0038,39.8406374501992
3,186,37,0.0037,39.8406374501992
3,187,30,0.003,39.8406374501992
